,density,humidity_level,Run,Burned Out,Fine,Fire,Humid,height,width
0,0.01,0.1,0,4,99,0,3,100,100
1,0.01,0.1,1,1,88,0,0,100,100
2,0.01,0.1,2,4,94,0,0,100,100
3,0.01,0.1,3,0,94,0,0,100,100
4,0.01,0.1,4,0,113,0,0,100,100
5,0.01,0.1,5,3,105,0,1,100,100
6,0.01,0.1,6,0,103,0,0,100,100
7,0.01,0.1,7,2,103,0,1,100,100
8,0.01,0.1,8,0,96,0,3,100,100
9,0.01,0.1,9,0,97,0,0,100,100
10,0.01,0.1,10,1,100,0,2,100,100
11,0.01,0.1,11,2,105,0,0,100,100
12,0.01,0.1,12,0,96,0,2,100,100
13,0.01,0.1,13,1,112,0,1,100,100
14,0.01,0.1,14,1,104,0,1,100,100
15,0.01,0.1,15,1,97,0,0,100,100
16,0.01,0.1,16,1,103,0,1,100,100
17,0.01,0.1,17,1,93,0,0,100,100
18,0.01,0.1,18,2,99,0,0,100,100
19,0.01,0.1,19,0,108,0,0,100,100
20,0.01,0.1,20,2,106,0,2,100,100
21,0.01,0.1,21,2,89,0,1,100,100
22,0.01,0.1,22,0,90,0,1,100,100
23,0.01,0.1,23,0,107,0,1,100,100
24,0.01,0.1,24,1,90,0,2,100,100
25,0.01,0.1,25,3,97,0,2,100,100
26,0.01,0.1,26,1,115,0,0,100,100
27,0.01,0.1,27,1,96,0,0,100,100
28,0.01,0.1,28,1,111,0,2,100,100
29,0.01,0.1,29,1,95,0,2,100,100
30,0.01,0.1,30,1,95,0,0,100,100
31,0.01,0.1,31,0,91,0,0,100,100
32,0.01,0.1,32,1,90,0,2,100,100
33,0.01,0.1,33,3,108,0,1,100,100
34,0.01,0.1,34,0,90,0,0,100,100
35,0.01,0.1,35,3,100,0,1,100,100
36,0.01,0.1,36,0,90,0,0,100,100
37,0.01,0.1,37,2,102,0,1,100,100
38,0.01,0.1,38,0,100,0,2,100,100
39,0.01,0.1,39,0,105,0,1,100,100
40,0.01,0.1,40,0,98,0,0,100,100
41,0.01,0.1,41,0,99,0,1,100,100
42,0.01,0.1,42,2,96,0,2,100,100
43,0.01,0.1,43,0,111,0,0,100,100
44,0.01,0.1,44,0,76,0,0,100,100
45,0.01,0.1,45,0,91,0,1,100,100
46,0.01,0.1,46,0,99,0,2,100,100
47,0.01,0.1,47,0,102,0,2,100,100
48,0.01,0.1,48,1,103,0,1,100,100
49,0.01,0.1,49,3,93,0,0,100,100
50,0.01,0.1,50,0,88,0,0,100,100
51,0.01,0.1,51,1,103,0,1,100,100
52,0.01,0.1,52,1,106,0,1,100,100
53,0.01,0.1,53,2,93,0,0,100,100
54,0.01,0.1,54,4,91,0,3,100,100
55,0.01,0.1,55,3,107,0,1,100,100
56,0.01,0.1,56,1,114,0,0,100,100
57,0.01,0.1,57,2,84,0,0,100,100
58,0.01,0.1,58,0,95,0,2,100,100
59,0.01,0.1,59,1,99,0,0,100,100
60,0.01,0.1,60,0,106,0,2,100,100
61,0.01,0.1,61,0,90,0,0,100,100
62,0.01,0.1,62,7,108,0,1,100,100
63,0.01,0.1,63,1,94,0,0,100,100
64,0.01,0.1,64,0,94,0,1,100,100
65,0.01,0.1,65,1,102,0,1,100,100
66,0.01,0.1,66,1,84,0,1,100,100
67,0.01,0.1,67,1,108,0,1,100,100
68,0.01,0.1,68,1,81,0,0,100,100
69,0.01,0.1,69,1,95,0,0,100,100
70,0.01,0.1,70,4,112,0,2,100,100
71,0.01,0.1,71,1,106,0,0,100,100
72,0.01,0.1,72,1,89,0,1,100,100
73,0.01,0.1,73,0,91,0,0,100,100
74,0.01,0.1,74,1,88,0,1,100,100
75,0.01,0.1,75,1,100,0,0,100,100
76,0.01,0.1,76,1,99,0,2,100,100
77,0.01,0.1,77,0,93,0,1,100,100
78,0.01,0.1,78,2,96,0,1,100,100
79,0.01,0.1,79,1,105,0,0,100,100
80,0.01,0.1,80,1,115,0,1,100,100
81,0.01,0.1,81,2,108,0,0,100,100
82,0.01,0.1,82,1,94,0,0,100,100
83,0.01,0.1,83,0,103,0,2,100,100
84,0.01,0.1,84,1,108,0,2,100,100
85,0.01,0.1,85,2,105,0,0,100,100
86,0.01,0.1,86,2,100,0,0,100,100
87,0.01,0.1,87,0,103,0,1,100,100
88,0.01,0.1,88,2,115,0,1,100,100
89,0.01,0.1,89,1,112,0,2,100,100
90,0.01,0.1,90,2,104,0,2,100,100
91,0.01,0.1,91,0,97,0,2,100,100
92,0.01,0.1,92,1,98,0,2,100,100
93,0.01,0.1,93,1,95,0,1,100,100
94,0.01,0.1,94,1,94,0,0,100,100
95,0.01,0.1,95,1,85,0,1,100,100
96,0.01,0.1,96,0,100,0,0,100,100
97,0.01,0.1,97,2,101,0,1,100,100
98,0.01,0.1,98,1,92,0,1,100,100
99,0.01,0.1,99,1,120,0,1,100,100
100,0.01,1.0,100,0,0,0,90,100,100
101,0.01,1.0,101,2,0,0,92,100,100
102,0.01,1.0,102,1,7,0,82,100,100
103,0.01,1.0,103,0,8,0,100,100,100
104,0.01,1.0,104,1,24,0,86,100,100
105,0.01,1.0,105,0,13,0,82,100,100
106,0.01,1.0,106,0,0,0,102,100,100
107,0.01,1.0,107,0,31,0,66,100,100
108,0.01,1.0,108,1,0,0,81,100,100
109,0.01,1.0,109,3,0,0,89,100,100
110,0.01,1.0,110,1,0,0,105,100,100
111,0.01,1.0,111,0,41,0,39,100,100
112,0.01,1.0,112,0,0,0,110,100,100
113,0.01,1.0,113,2,27,0,84,100,100
114,0.01,1.0,114,3,51,0,54,100,100
115,0.01,1.0,115,0,26,0,78,100,100
116,0.01,1.0,116,1,0,0,111,100,100
117,0.01,1.0,117,1,0,0,105,100,100
118,0.01,1.0,118,2,2,0,86,100,100
119,0.01,1.0,119,0,6,0,118,100,100
120,0.01,1.0,120,0,9,0,87,100,100
121,0.01,1.0,121,2,3,0,96,100,100
122,0.01,1.0,122,1,0,0,103,100,100
123,0.01,1.0,123,1,0,0,104,100,100
124,0.01,1.0,124,0,0,0,106,100,100
125,0.01,1.0,125,4,25,0,64,100,100
126,0.01,1.0,126,1,14,0,99,100,100
127,0.01,1.0,127,2,6,0,104,100,100
128,0.01,1.0,128,1,15,0,82,100,100
129,0.01,1.0,129,0,0,0,93,100,100
130,0.01,1.0,130,0,45,0,72,100,100
131,0.01,1.0,131,1,0,0,90,100,100
132,0.01,1.0,132,0,0,0,109,100,100
133,0.01,1.0,133,0,0,0,96,100,100
134,0.01,1.0,134,1,35,0,73,100,100
135,0.01,1.0,135,0,0,0,91,100,100
136,0.01,1.0,136,2,5,0,90,100,100
137,0.01,1.0,137,0,13,0,74,100,100
138,0.01,1.0,138,0,0,0,99,100,100
139,0.01,1.0,139,0,0,0,90,100,100
140,0.01,1.0,140,1,0,0,93,100,100
141,0.01,1.0,141,1,0,0,111,100,100
142,0.01,1.0,142,3,16,0,81,100,100
143,0.01,1.0,143,1,0,0,87,100,100
144,0.01,1.0,144,0,4,0,82,100,100
145,0.01,1.0,145,0,0,0,95,100,100
146,0.01,1.0,146,2,0,0,96,100,100
147,0.01,1.0,147,0,6,0,92,100,100
148,0.01,1.0,148,0,10,0,84,100,100
149,0.01,1.0,149,0,0,0,101,100,100
150,0.01,1.0,150,0,0,0,97,100,100
151,0.01,1.0,151,0,0,0,99,100,100
152,0.01,1.0,152,1,27,0,85,100,100
153,0.01,1.0,153,1,26,0,81,100,100
154,0.01,1.0,154,1,0,0,85,100,100
155,0.01,1.0,155,1,0,0,113,100,100
156,0.01,1.0,156,3,33,0,58,100,100
157,0.01,1.0,157,2,0,0,103,100,100
158,0.01,1.0,158,0,0,0,112,100,100
159,0.01,1.0,159,1,0,0,99,100,100
160,0.01,1.0,160,0,0,0,85,100,100
161,0.01,1.0,161,2,6,0,89,100,100
162,0.01,1.0,162,1,25,0,59,100,100
163,0.01,1.0,163,0,0,0,93,100,100
164,0.01,1.0,164,1,23,0,93,100,100
165,0.01,1.0,165,1,0,0,109,100,100
166,0.01,1.0,166,2,0,0,103,100,100
167,0.01,1.0,167,0,0,0,103,100,100
168,0.01,1.0,168,1,23,0,78,100,100
169,0.01,1.0,169,0,8,0,76,100,100
170,0.01,1.0,170,1,10,0,71,100,100
171,0.01,1.0,171,2,15,0,85,100,100
172,0.01,1.0,172,2,0,0,88,100,100
173,0.01,1.0,173,0,0,0,96,100,100
174,0.01,1.0,174,2,0,0,95,100,100
175,0.01,1.0,175,0,5,0,80,100,100
176,0.01,1.0,176,0,0,0,100,100,100
177,0.01,1.0,177,1,30,0,65,100,100
178,0.01,1.0,178,3,0,0,96,100,100
179,0.01,1.0,179,1,0,0,110,100,100
180,0.01,1.0,180,1,20,0,77,100,100
181,0.01,1.0,181,0,2,0,90,100,100
182,0.01,1.0,182,1,40,0,69,100,100
183,0.01,1.0,183,0,0,0,92,100,100
184,0.01,1.0,184,0,0,0,103,100,100
185,0.01,1.0,185,1,0,0,89,100,100
186,0.01,1.0,186,1,1,0,101,100,100
187,0.01,1.0,187,2,14,0,110,100,100
188,0.01,1.0,188,1,0,0,94,100,100
189,0.01,1.0,189,1,15,0,79,100,100
190,0.01,1.0,190,0,13,0,71,100,100
