,density,humidity_level,Run,Burned Out,Fine,Fire,Humid,height,width
191,0.01,1.0,191,0,0,0,113,100,100
192,0.01,1.0,192,0,4,0,89,100,100
193,0.01,1.0,193,1,0,0,97,100,100
194,0.01,1.0,194,0,3,0,87,100,100
195,0.01,1.0,195,0,15,0,95,100,100
196,0.01,1.0,196,2,13,0,83,100,100
197,0.01,1.0,197,0,0,0,103,100,100
198,0.01,1.0,198,0,11,0,87,100,100
199,0.01,1.0,199,3,4,0,86,100,100
200,0.01,0.01,200,1,81,0,0,100,100
201,0.01,0.01,201,1,79,0,0,100,100
202,0.01,0.01,202,1,84,0,0,100,100
203,0.01,0.01,203,1,97,0,0,100,100
204,0.01,0.01,204,0,97,0,0,100,100
205,0.01,0.01,205,2,100,0,0,100,100
206,0.01,0.01,206,0,107,0,0,100,100
207,0.01,0.01,207,0,85,0,0,100,100
208,0.01,0.01,208,3,112,0,0,100,100
209,0.01,0.01,209,1,99,0,0,100,100
210,0.01,0.01,210,1,105,0,0,100,100
211,0.01,0.01,211,1,97,0,0,100,100
212,0.01,0.01,212,0,98,0,0,100,100
213,0.01,0.01,213,5,98,0,0,100,100
214,0.01,0.01,214,0,111,0,0,100,100
215,0.01,0.01,215,1,98,0,0,100,100
216,0.01,0.01,216,1,89,0,0,100,100
217,0.01,0.01,217,0,101,0,0,100,100
218,0.01,0.01,218,2,104,0,0,100,100
219,0.01,0.01,219,1,74,0,0,100,100
220,0.01,0.01,220,0,110,0,0,100,100
221,0.01,0.01,221,4,91,0,0,100,100
222,0.01,0.01,222,1,119,0,0,100,100
223,0.01,0.01,223,4,89,0,0,100,100
224,0.01,0.01,224,1,101,0,0,100,100
225,0.01,0.01,225,2,90,0,0,100,100
226,0.01,0.01,226,1,123,0,0,100,100
227,0.01,0.01,227,2,87,0,0,100,100
228,0.01,0.01,228,1,97,0,0,100,100
229,0.01,0.01,229,0,118,0,0,100,100
230,0.01,0.01,230,0,112,0,0,100,100
231,0.01,0.01,231,0,99,0,0,100,100
232,0.01,0.01,232,2,101,0,0,100,100
233,0.01,0.01,233,1,89,0,0,100,100
234,0.01,0.01,234,1,105,0,0,100,100
235,0.01,0.01,235,1,108,0,0,100,100
236,0.01,0.01,236,1,110,0,0,100,100
237,0.01,0.01,237,1,94,0,0,100,100
238,0.01,0.01,238,0,79,0,0,100,100
239,0.01,0.01,239,1,86,0,0,100,100
240,0.01,0.01,240,2,85,0,0,100,100
241,0.01,0.01,241,1,115,0,0,100,100
242,0.01,0.01,242,0,93,0,0,100,100
243,0.01,0.01,243,1,89,0,0,100,100
244,0.01,0.01,244,1,98,0,0,100,100
245,0.01,0.01,245,2,102,0,0,100,100
246,0.01,0.01,246,0,100,0,0,100,100
247,0.01,0.01,247,1,98,0,0,100,100
248,0.01,0.01,248,0,94,0,0,100,100
249,0.01,0.01,249,1,111,0,0,100,100
250,0.01,0.01,250,2,109,0,0,100,100
251,0.01,0.01,251,2,102,0,0,100,100
252,0.01,0.01,252,0,114,0,0,100,100
253,0.01,0.01,253,1,116,0,0,100,100
254,0.01,0.01,254,1,96,0,0,100,100
255,0.01,0.01,255,0,98,0,0,100,100
256,0.01,0.01,256,4,98,0,0,100,100
257,0.01,0.01,257,1,114,0,0,100,100
258,0.01,0.01,258,0,80,0,0,100,100
259,0.01,0.01,259,3,114,0,1,100,100
260,0.01,0.01,260,1,104,0,0,100,100
261,0.01,0.01,261,2,100,0,0,100,100
262,0.01,0.01,262,1,100,0,0,100,100
263,0.01,0.01,263,0,101,0,0,100,100
264,0.01,0.01,264,1,100,0,0,100,100
265,0.01,0.01,265,1,84,0,0,100,100
266,0.01,0.01,266,1,97,0,0,100,100
267,0.01,0.01,267,1,88,0,0,100,100
268,0.01,0.01,268,0,101,0,0,100,100
269,0.01,0.01,269,0,93,0,0,100,100
270,0.01,0.01,270,2,110,0,0,100,100
271,0.01,0.01,271,0,104,0,0,100,100
272,0.01,0.01,272,0,104,0,0,100,100
273,0.01,0.01,273,1,110,0,0,100,100
274,0.01,0.01,274,1,98,0,0,100,100
275,0.01,0.01,275,0,79,0,0,100,100
276,0.01,0.01,276,2,91,0,0,100,100
277,0.01,0.01,277,2,97,0,0,100,100
278,0.01,0.01,278,2,108,0,0,100,100
279,0.01,0.01,279,1,103,0,0,100,100
280,0.01,0.01,280,1,118,0,0,100,100
281,0.01,0.01,281,1,96,0,0,100,100
282,0.01,0.01,282,0,102,0,0,100,100
283,0.01,0.01,283,2,94,0,0,100,100
284,0.01,0.01,284,2,108,0,0,100,100
285,0.01,0.01,285,0,92,0,0,100,100
286,0.01,0.01,286,1,102,0,0,100,100
287,0.01,0.01,287,1,98,0,0,100,100
288,0.01,0.01,288,1,99,0,0,100,100
289,0.01,0.01,289,0,86,0,0,100,100
290,0.01,0.01,290,3,94,0,0,100,100
291,0.01,0.01,291,0,96,0,0,100,100
292,0.01,0.01,292,0,99,0,0,100,100
293,0.01,0.01,293,0,98,0,0,100,100
294,0.01,0.01,294,1,109,0,0,100,100
295,0.01,0.01,295,0,104,0,0,100,100
296,0.01,0.01,296,1,86,0,0,100,100
297,0.01,0.01,297,3,118,0,0,100,100
298,0.01,0.01,298,0,85,0,0,100,100
299,0.01,0.01,299,1,80,0,0,100,100
300,1.0,0.1,300,9980,7,0,13,100,100
301,1.0,0.1,301,9979,5,0,16,100,100
302,1.0,0.1,302,9998,1,0,1,100,100
303,1.0,0.1,303,9983,4,0,13,100,100
304,1.0,0.1,304,9980,2,0,18,100,100
305,1.0,0.1,305,9999,0,0,1,100,100
306,1.0,0.1,306,9981,4,0,15,100,100
307,1.0,0.1,307,9994,4,0,2,100,100
308,1.0,0.1,308,9985,3,0,12,100,100
309,1.0,0.1,309,9997,1,0,2,100,100
310,1.0,0.1,310,9973,4,0,23,100,100
311,1.0,0.1,311,9989,2,0,9,100,100
312,1.0,0.1,312,9959,6,0,35,100,100
313,1.0,0.1,313,9988,5,0,7,100,100
314,1.0,0.1,314,9993,3,0,4,100,100
315,1.0,0.1,315,9994,2,0,4,100,100
316,1.0,0.1,316,9991,2,0,7,100,100
317,1.0,0.1,317,9984,6,0,10,100,100
318,1.0,0.1,318,9975,6,0,19,100,100
319,1.0,0.1,319,9986,6,0,8,100,100
320,1.0,0.1,320,9988,3,0,9,100,100
321,1.0,0.1,321,9979,5,0,16,100,100
322,1.0,0.1,322,9985,4,0,11,100,100
323,1.0,0.1,323,9996,1,0,3,100,100
324,1.0,0.1,324,9988,1,0,11,100,100
325,1.0,0.1,325,9980,4,0,16,100,100
326,1.0,0.1,326,9988,3,0,9,100,100
327,1.0,0.1,327,9980,8,0,12,100,100
328,1.0,0.1,328,9991,2,0,7,100,100
329,1.0,0.1,329,9975,5,0,20,100,100
330,1.0,0.1,330,9987,3,0,10,100,100
331,1.0,0.1,331,9986,3,0,11,100,100
332,1.0,0.1,332,9990,3,0,7,100,100
333,1.0,0.1,333,9991,3,0,6,100,100
334,1.0,0.1,334,9980,6,0,14,100,100
335,1.0,0.1,335,9986,4,0,10,100,100
336,1.0,0.1,336,9981,7,0,12,100,100
337,1.0,0.1,337,9980,1,0,19,100,100
338,1.0,0.1,338,9981,7,0,12,100,100
339,1.0,0.1,339,9990,6,0,4,100,100
340,1.0,0.1,340,9970,10,0,20,100,100
341,1.0,0.1,341,9988,2,0,10,100,100
342,1.0,0.1,342,9996,1,0,3,100,100
343,1.0,0.1,343,9974,3,0,23,100,100
344,1.0,0.1,344,9986,2,0,12,100,100
345,1.0,0.1,345,9989,3,0,8,100,100
346,1.0,0.1,346,9976,6,0,18,100,100
347,1.0,0.1,347,9990,0,0,10,100,100
348,1.0,0.1,348,9985,3,0,12,100,100
349,1.0,0.1,349,9992,2,0,6,100,100
350,1.0,0.1,350,9998,0,0,2,100,100
351,1.0,0.1,351,9992,4,0,4,100,100
352,1.0,0.1,352,9986,6,0,8,100,100
353,1.0,0.1,353,9985,4,0,11,100,100
354,1.0,0.1,354,9984,4,0,12,100,100
355,1.0,0.1,355,9983,5,0,12,100,100
356,1.0,0.1,356,9983,6,0,11,100,100
357,1.0,0.1,357,9988,4,0,8,100,100
358,1.0,0.1,358,9982,5,0,13,100,100
359,1.0,0.1,359,9985,5,0,10,100,100
360,1.0,0.1,360,9995,1,0,4,100,100
361,1.0,0.1,361,9994,0,0,6,100,100
362,1.0,0.1,362,9997,0,0,3,100,100
363,1.0,0.1,363,9986,2,0,12,100,100
364,1.0,0.1,364,9995,2,0,3,100,100
365,1.0,0.1,365,9994,1,0,5,100,100
366,1.0,0.1,366,9978,9,0,13,100,100
367,1.0,0.1,367,9990,3,0,7,100,100
368,1.0,0.1,368,9992,1,0,7,100,100
369,1.0,0.1,369,9980,8,0,12,100,100
370,1.0,0.1,370,9982,5,0,13,100,100
371,1.0,0.1,371,9979,7,0,14,100,100
372,1.0,0.1,372,9989,5,0,6,100,100
373,1.0,0.1,373,9995,1,0,4,100,100
374,1.0,0.1,374,9997,1,0,2,100,100
375,1.0,0.1,375,9978,5,0,17,100,100
376,1.0,0.1,376,9995,2,0,3,100,100
377,1.0,0.1,377,9988,1,0,11,100,100
378,1.0,0.1,378,9992,2,0,6,100,100
379,1.0,0.1,379,9990,6,0,4,100,100
380,1.0,0.1,380,9993,2,0,5,100,100
381,1.0,0.1,381,9976,6,0,18,100,100
382,1.0,0.1,382,9980,4,0,16,100,100
383,1.0,0.1,383,9986,3,0,11,100,100
384,1.0,0.1,384,9982,3,0,15,100,100
385,1.0,0.1,385,9993,2,0,5,100,100
386,1.0,0.1,386,9985,4,0,11,100,100
387,1.0,0.1,387,9985,0,0,15,100,100
388,1.0,0.1,388,9990,3,0,7,100,100
389,1.0,0.1,389,9982,2,0,16,100,100
390,1.0,0.1,390,9996,1,0,3,100,100
391,1.0,0.1,391,9989,1,0,10,100,100
392,1.0,0.1,392,9987,2,0,11,100,100
393,1.0,0.1,393,9994,2,0,4,100,100
394,1.0,0.1,394,9991,2,0,7,100,100
395,1.0,0.1,395,9994,1,0,5,100,100
396,1.0,0.1,396,9979,11,0,10,100,100
397,1.0,0.1,397,9986,4,0,10,100,100
398,1.0,0.1,398,9999,0,0,1,100,100
399,1.0,0.1,399,9989,3,0,8,100,100
400,1.0,1.0,400,202,41,0,9757,100,100
401,1.0,1.0,401,206,37,0,9757,100,100
402,1.0,1.0,402,282,40,0,9678,100,100
403,1.0,1.0,403,211,54,0,9735,100,100
404,1.0,1.0,404,256,38,0,9706,100,100
405,1.0,1.0,405,264,47,0,9689,100,100
406,1.0,1.0,406,283,45,0,9672,100,100
407,1.0,1.0,407,211,45,0,9744,100,100
408,1.0,1.0,408,175,33,0,9792,100,100
409,1.0,1.0,409,187,31,0,9782,100,100
410,1.0,1.0,410,195,33,0,9772,100,100
411,1.0,1.0,411,210,49,0,9741,100,100
412,1.0,1.0,412,195,39,0,9766,100,100
413,1.0,1.0,413,201,35,0,9764,100,100
414,1.0,1.0,414,178,34,0,9788,100,100
415,1.0,1.0,415,271,45,0,9684,100,100
416,1.0,1.0,416,226,49,0,9725,100,100
417,1.0,1.0,417,205,41,0,9754,100,100
418,1.0,1.0,418,206,33,0,9761,100,100
419,1.0,1.0,419,263,44,0,9693,100,100
420,1.0,1.0,420,230,42,0,9728,100,100
421,1.0,1.0,421,214,48,0,9738,100,100
422,1.0,1.0,422,218,49,0,9733,100,100
423,1.0,1.0,423,197,47,0,9756,100,100
424,1.0,1.0,424,173,40,0,9787,100,100
425,1.0,1.0,425,230,39,0,9731,100,100
426,1.0,1.0,426,249,48,0,9703,100,100
427,1.0,1.0,427,291,48,0,9661,100,100
428,1.0,1.0,428,190,47,0,9763,100,100
429,1.0,1.0,429,192,48,0,9760,100,100
430,1.0,1.0,430,222,47,0,9731,100,100
431,1.0,1.0,431,213,36,0,9751,100,100
432,1.0,1.0,432,223,44,0,9733,100,100
433,1.0,1.0,433,210,37,0,9753,100,100
434,1.0,1.0,434,199,35,0,9766,100,100
435,1.0,1.0,435,216,45,0,9739,100,100
436,1.0,1.0,436,242,38,0,9720,100,100
437,1.0,1.0,437,204,45,0,9751,100,100
438,1.0,1.0,438,217,40,0,9743,100,100
439,1.0,1.0,439,233,47,0,9720,100,100
440,1.0,1.0,440,204,32,0,9764,100,100
441,1.0,1.0,441,219,44,0,9737,100,100
442,1.0,1.0,442,217,35,0,9748,100,100
443,1.0,1.0,443,214,50,0,9736,100,100
444,1.0,1.0,444,210,28,0,9762,100,100
445,1.0,1.0,445,266,49,0,9685,100,100
446,1.0,1.0,446,187,36,0,9777,100,100
447,1.0,1.0,447,210,34,0,9756,100,100
448,1.0,1.0,448,211,37,0,9752,100,100
449,1.0,1.0,449,181,40,0,9779,100,100
450,1.0,1.0,450,201,41,0,9758,100,100
451,1.0,1.0,451,178,35,0,9787,100,100
452,1.0,1.0,452,270,34,0,9696,100,100
453,1.0,1.0,453,199,36,0,9765,100,100
454,1.0,1.0,454,213,40,0,9747,100,100
455,1.0,1.0,455,189,37,0,9774,100,100
456,1.0,1.0,456,203,49,0,9748,100,100
457,1.0,1.0,457,214,43,0,9743,100,100
458,1.0,1.0,458,216,47,0,9737,100,100
459,1.0,1.0,459,213,50,0,9737,100,100
460,1.0,1.0,460,160,37,0,9803,100,100
461,1.0,1.0,461,249,46,0,9705,100,100
462,1.0,1.0,462,186,34,0,9780,100,100
463,1.0,1.0,463,269,46,0,9685,100,100
464,1.0,1.0,464,244,35,0,9721,100,100
465,1.0,1.0,465,233,46,0,9721,100,100
466,1.0,1.0,466,192,42,0,9766,100,100
467,1.0,1.0,467,182,40,0,9778,100,100
468,1.0,1.0,468,199,34,0,9767,100,100
469,1.0,1.0,469,271,36,0,9693,100,100
470,1.0,1.0,470,196,44,0,9760,100,100
471,1.0,1.0,471,217,54,0,9729,100,100
472,1.0,1.0,472,213,41,0,9746,100,100
473,1.0,1.0,473,207,45,0,9748,100,100
474,1.0,1.0,474,207,33,0,9760,100,100
475,1.0,1.0,475,205,44,0,9751,100,100
476,1.0,1.0,476,227,53,0,9720,100,100
477,1.0,1.0,477,214,51,0,9735,100,100
478,1.0,1.0,478,252,43,0,9705,100,100
479,1.0,1.0,479,210,44,0,9746,100,100
480,1.0,1.0,480,203,33,0,9764,100,100
481,1.0,1.0,481,197,46,0,9757,100,100
482,1.0,1.0,482,195,50,0,9755,100,100
483,1.0,1.0,483,262,47,0,9691,100,100
484,1.0,1.0,484,226,35,0,9739,100,100
485,1.0,1.0,485,221,42,0,9737,100,100
486,1.0,1.0,486,243,56,0,9701,100,100
487,1.0,1.0,487,212,31,0,9757,100,100
488,1.0,1.0,488,272,48,0,9680,100,100
489,1.0,1.0,489,172,43,0,9785,100,100
490,1.0,1.0,490,207,33,0,9760,100,100
491,1.0,1.0,491,209,37,0,9754,100,100
492,1.0,1.0,492,187,44,0,9769,100,100
493,1.0,1.0,493,195,37,0,9768,100,100
494,1.0,1.0,494,222,34,0,9744,100,100
495,1.0,1.0,495,197,43,0,9760,100,100
496,1.0,1.0,496,218,40,0,9742,100,100
497,1.0,1.0,497,213,42,0,9745,100,100
498,1.0,1.0,498,230,47,0,9723,100,100
499,1.0,1.0,499,192,41,0,9767,100,100
500,1.0,0.01,500,9999,0,0,1,100,100
501,1.0,0.01,501,10000,0,0,0,100,100
502,1.0,0.01,502,10000,0,0,0,100,100
503,1.0,0.01,503,10000,0,0,0,100,100
504,1.0,0.01,504,10000,0,0,0,100,100
505,1.0,0.01,505,10000,0,0,0,100,100
506,1.0,0.01,506,10000,0,0,0,100,100
507,1.0,0.01,507,10000,0,0,0,100,100
508,1.0,0.01,508,10000,0,0,0,100,100
509,1.0,0.01,509,10000,0,0,0,100,100
510,1.0,0.01,510,10000,0,0,0,100,100
511,1.0,0.01,511,10000,0,0,0,100,100
512,1.0,0.01,512,10000,0,0,0,100,100
513,1.0,0.01,513,10000,0,0,0,100,100
514,1.0,0.01,514,9999,1,0,0,100,100
515,1.0,0.01,515,10000,0,0,0,100,100
516,1.0,0.01,516,10000,0,0,0,100,100
517,1.0,0.01,517,10000,0,0,0,100,100
518,1.0,0.01,518,10000,0,0,0,100,100
519,1.0,0.01,519,10000,0,0,0,100,100
520,1.0,0.01,520,10000,0,0,0,100,100
521,1.0,0.01,521,10000,0,0,0,100,100
522,1.0,0.01,522,10000,0,0,0,100,100
523,1.0,0.01,523,10000,0,0,0,100,100
524,1.0,0.01,524,10000,0,0,0,100,100
525,1.0,0.01,525,10000,0,0,0,100,100
526,1.0,0.01,526,10000,0,0,0,100,100
527,1.0,0.01,527,10000,0,0,0,100,100
528,1.0,0.01,528,10000,0,0,0,100,100
529,1.0,0.01,529,10000,0,0,0,100,100
530,1.0,0.01,530,10000,0,0,0,100,100
531,1.0,0.01,531,10000,0,0,0,100,100
532,1.0,0.01,532,10000,0,0,0,100,100
533,1.0,0.01,533,10000,0,0,0,100,100
534,1.0,0.01,534,10000,0,0,0,100,100
535,1.0,0.01,535,10000,0,0,0,100,100
536,1.0,0.01,536,9999,1,0,0,100,100
537,1.0,0.01,537,10000,0,0,0,100,100
538,1.0,0.01,538,10000,0,0,0,100,100
539,1.0,0.01,539,10000,0,0,0,100,100
540,1.0,0.01,540,10000,0,0,0,100,100
541,1.0,0.01,541,10000,0,0,0,100,100
542,1.0,0.01,542,10000,0,0,0,100,100
543,1.0,0.01,543,10000,0,0,0,100,100
544,1.0,0.01,544,10000,0,0,0,100,100
545,1.0,0.01,545,10000,0,0,0,100,100
546,1.0,0.01,546,10000,0,0,0,100,100
547,1.0,0.01,547,10000,0,0,0,100,100
548,1.0,0.01,548,10000,0,0,0,100,100
549,1.0,0.01,549,10000,0,0,0,100,100
550,1.0,0.01,550,10000,0,0,0,100,100
551,1.0,0.01,551,10000,0,0,0,100,100
552,1.0,0.01,552,10000,0,0,0,100,100
553,1.0,0.01,553,10000,0,0,0,100,100
554,1.0,0.01,554,10000,0,0,0,100,100
555,1.0,0.01,555,10000,0,0,0,100,100
556,1.0,0.01,556,10000,0,0,0,100,100
557,1.0,0.01,557,10000,0,0,0,100,100
558,1.0,0.01,558,10000,0,0,0,100,100
559,1.0,0.01,559,9999,0,0,1,100,100
560,1.0,0.01,560,10000,0,0,0,100,100
561,1.0,0.01,561,10000,0,0,0,100,100
562,1.0,0.01,562,10000,0,0,0,100,100
563,1.0,0.01,563,10000,0,0,0,100,100
564,1.0,0.01,564,10000,0,0,0,100,100
565,1.0,0.01,565,10000,0,0,0,100,100
566,1.0,0.01,566,10000,0,0,0,100,100
567,1.0,0.01,567,10000,0,0,0,100,100
568,1.0,0.01,568,10000,0,0,0,100,100
