Step,AgentID,Steps to fire up
48,"(0, 0)",-1
48,"(0, 5)",-1
48,"(0, 9)",-1
48,"(0, 10)",-1
48,"(0, 11)",-1
48,"(0, 13)",-1
48,"(0, 14)",-1
48,"(0, 15)",-1
48,"(0, 16)",-1
48,"(0, 17)",-1
48,"(0, 18)",-1
48,"(0, 19)",-1
48,"(0, 21)",-1
48,"(0, 22)",-1
48,"(0, 23)",-1
48,"(0, 24)",-1
48,"(0, 25)",-1
48,"(0, 27)",-1
48,"(0, 28)",-1
48,"(0, 30)",-1
48,"(0, 32)",-1
48,"(0, 34)",-1
48,"(0, 35)",-1
48,"(0, 36)",-1
48,"(0, 37)",-1
48,"(0, 38)",-1
48,"(0, 39)",-1
48,"(0, 40)",-1
48,"(0, 41)",-1
48,"(0, 42)",-1
48,"(0, 43)",-1
48,"(0, 44)",-1
48,"(0, 45)",-1
48,"(0, 46)",-1
48,"(0, 48)",-1
48,"(0, 49)",-1
48,"(0, 50)",-1
48,"(0, 51)",-1
48,"(0, 52)",-1
48,"(0, 53)",-1
48,"(0, 56)",-1
48,"(0, 57)",-1
48,"(0, 59)",-1
48,"(0, 60)",-1
48,"(0, 62)",-1
48,"(0, 63)",-1
48,"(0, 64)",-1
48,"(0, 65)",-1
48,"(0, 67)",-1
48,"(0, 69)",-1
48,"(0, 70)",-1
48,"(0, 71)",-1
48,"(0, 73)",-1
48,"(0, 74)",-1
48,"(0, 76)",-1
48,"(0, 78)",-1
48,"(0, 79)",-1
48,"(0, 81)",-1
48,"(0, 82)",-1
48,"(0, 83)",-1
48,"(0, 84)",-1
48,"(0, 85)",-1
48,"(0, 87)",-1
48,"(0, 89)",-1
48,"(0, 90)",-1
48,"(0, 93)",-1
48,"(0, 94)",-1
48,"(0, 98)",-1
48,"(0, 99)",-1
48,"(1, 1)",1
48,"(1, 2)",2
48,"(1, 3)",1
48,"(1, 4)",1
48,"(1, 5)",1
48,"(1, 6)",1
48,"(1, 7)",1
48,"(1, 8)",1
48,"(1, 9)",1
48,"(1, 11)",1
48,"(1, 12)",1
48,"(1, 14)",1
48,"(1, 16)",1
48,"(1, 17)",1
48,"(1, 18)",1
48,"(1, 19)",1
48,"(1, 21)",1
48,"(1, 23)",1
48,"(1, 24)",1
48,"(1, 26)",1
48,"(1, 28)",1
48,"(1, 29)",1
48,"(1, 30)",1
48,"(1, 33)",1
48,"(1, 34)",1
48,"(1, 35)",1
48,"(1, 36)",1
48,"(1, 37)",1
48,"(1, 39)",1
48,"(1, 40)",1
48,"(1, 41)",1
48,"(1, 43)",1
48,"(1, 44)",1
48,"(1, 46)",1
48,"(1, 47)",1
48,"(1, 52)",1
48,"(1, 54)",1
48,"(1, 56)",1
48,"(1, 57)",1
48,"(1, 58)",1
48,"(1, 60)",1
48,"(1, 61)",1
48,"(1, 63)",1
48,"(1, 64)",1
48,"(1, 65)",1
48,"(1, 66)",1
48,"(1, 69)",1
48,"(1, 70)",1
48,"(1, 78)",1
48,"(1, 80)",1
48,"(1, 88)",1
48,"(1, 91)",1
48,"(1, 92)",1
48,"(1, 95)",1
48,"(1, 96)",2
48,"(1, 97)",1
48,"(1, 98)",1
48,"(1, 99)",1
48,"(2, 4)",1
48,"(2, 5)",1
48,"(2, 7)",1
48,"(2, 8)",1
48,"(2, 9)",1
48,"(2, 10)",1
48,"(2, 11)",2
48,"(2, 14)",2
48,"(2, 15)",1
48,"(2, 18)",1
48,"(2, 19)",-1
48,"(2, 20)",2
48,"(2, 22)",4
48,"(2, 27)",2
48,"(2, 28)",-1
48,"(2, 32)",-1
48,"(2, 34)",2
48,"(2, 35)",-1
48,"(2, 36)",-1
48,"(2, 37)",-1
48,"(2, 40)",1
48,"(2, 41)",1
48,"(2, 47)",1
48,"(2, 50)",6
48,"(2, 51)",6
48,"(2, 57)",1
48,"(2, 60)",2
48,"(2, 65)",4
48,"(2, 67)",-1
48,"(2, 68)",1
48,"(2, 70)",1
48,"(2, 71)",2
48,"(2, 72)",4
48,"(2, 74)",5
48,"(2, 75)",5
48,"(2, 76)",-1
48,"(2, 78)",-1
48,"(2, 79)",-1
48,"(2, 80)",1
48,"(2, 81)",1
48,"(2, 83)",-1
48,"(2, 84)",6
48,"(2, 85)",6
48,"(2, 86)",-1
48,"(2, 87)",2
48,"(2, 90)",2
48,"(2, 92)",1
48,"(2, 93)",2
48,"(2, 95)",2
48,"(2, 96)",2
48,"(3, 1)",-1
48,"(3, 2)",-1
48,"(3, 4)",1
48,"(3, 5)",1
48,"(3, 7)",-1
48,"(3, 8)",3
48,"(3, 10)",1
48,"(3, 12)",2
48,"(3, 13)",2
48,"(3, 14)",2
48,"(3, 15)",2
48,"(3, 17)",2
48,"(3, 19)",-1
48,"(3, 20)",2
48,"(3, 21)",2
48,"(3, 22)",5
48,"(3, 23)",3
48,"(3, 24)",3
48,"(3, 26)",3
48,"(3, 31)",10
48,"(3, 32)",9
48,"(3, 33)",10
48,"(3, 34)",7
48,"(3, 35)",-1
48,"(3, 37)",-1
48,"(3, 38)",-1
48,"(3, 39)",1
48,"(3, 41)",-1
48,"(3, 42)",2
48,"(3, 43)",-1
48,"(3, 46)",5
48,"(3, 48)",6
48,"(3, 49)",6
48,"(3, 52)",7
48,"(3, 54)",9
48,"(3, 58)",9
48,"(3, 59)",-1
48,"(3, 61)",2
48,"(3, 62)",2
48,"(3, 64)",3
48,"(3, 65)",3
48,"(3, 66)",3
48,"(3, 67)",-1
48,"(3, 68)",1
48,"(3, 69)",1
48,"(3, 70)",1
48,"(3, 71)",-1
48,"(3, 72)",-1
48,"(3, 73)",3
48,"(3, 75)",4
48,"(3, 76)",-1
48,"(3, 77)",-1
48,"(3, 79)",-1
48,"(3, 81)",-1
48,"(3, 82)",-1
48,"(3, 83)",-1
48,"(3, 84)",6
48,"(3, 85)",6
48,"(3, 89)",3
48,"(3, 90)",3
48,"(3, 91)",3
48,"(3, 92)",2
48,"(3, 93)",-1
48,"(3, 95)",2
48,"(3, 96)",2
48,"(3, 97)",2
48,"(3, 98)",-1
48,"(3, 99)",3
48,"(4, 0)",-1
48,"(4, 1)",-1
48,"(4, 2)",-1
48,"(4, 5)",1
48,"(4, 6)",1
48,"(4, 7)",2
48,"(4, 8)",3
48,"(4, 9)",2
48,"(4, 10)",2
48,"(4, 11)",2
48,"(4, 12)",2
48,"(4, 13)",2
48,"(4, 16)",2
48,"(4, 18)",2
48,"(4, 20)",2
48,"(4, 21)",2
48,"(4, 22)",2
48,"(4, 25)",3
48,"(4, 26)",3
48,"(4, 28)",11
48,"(4, 29)",10
48,"(4, 30)",10
48,"(4, 31)",9
48,"(4, 32)",8
48,"(4, 33)",7
48,"(4, 35)",6
48,"(4, 36)",6
48,"(4, 37)",6
48,"(4, 40)",1
48,"(4, 42)",3
48,"(4, 45)",5
48,"(4, 47)",6
48,"(4, 48)",6
48,"(4, 50)",6
48,"(4, 53)",8
48,"(4, 54)",9
48,"(4, 55)",9
48,"(4, 56)",9
48,"(4, 57)",9
48,"(4, 60)",2
48,"(4, 61)",2
48,"(4, 63)",3
48,"(4, 64)",3
48,"(4, 66)",2
48,"(4, 67)",2
48,"(4, 68)",1
48,"(4, 69)",1
48,"(4, 71)",2
48,"(4, 72)",3
48,"(4, 73)",3
48,"(4, 74)",3
48,"(4, 75)",4
48,"(4, 76)",4
48,"(4, 78)",-1
48,"(4, 81)",-1
48,"(4, 84)",6
48,"(4, 85)",6
48,"(4, 86)",5
48,"(4, 88)",4
48,"(4, 91)",2
48,"(4, 93)",2
48,"(4, 94)",2
48,"(4, 95)",2
48,"(4, 96)",2
48,"(4, 98)",2
48,"(5, 0)",-1
48,"(5, 1)",-1
48,"(5, 2)",-1
48,"(5, 5)",2
48,"(5, 6)",3
48,"(5, 7)",3
48,"(5, 8)",3
48,"(5, 9)",3
48,"(5, 12)",5
48,"(5, 13)",3
48,"(5, 14)",2
48,"(5, 15)",2
48,"(5, 17)",2
48,"(5, 18)",2
48,"(5, 19)",3
48,"(5, 20)",2
48,"(5, 21)",3
48,"(5, 22)",3
48,"(5, 23)",3
48,"(5, 24)",3
48,"(5, 26)",3
48,"(5, 28)",-1
48,"(5, 29)",-1
48,"(5, 30)",-1
48,"(5, 32)",10
48,"(5, 33)",-1
48,"(5, 34)",-1
48,"(5, 35)",6
48,"(5, 36)",5
48,"(5, 38)",6
48,"(5, 39)",2
48,"(5, 40)",2
48,"(5, 41)",3
48,"(5, 42)",3
48,"(5, 44)",4
48,"(5, 45)",4
48,"(5, 46)",5
48,"(5, 47)",5
48,"(5, 48)",6
48,"(5, 49)",6
48,"(5, 54)",9
48,"(5, 55)",10
48,"(5, 56)",10
48,"(5, 57)",9
48,"(5, 58)",9
48,"(5, 62)",4
48,"(5, 63)",3
48,"(5, 66)",3
48,"(5, 68)",2
48,"(5, 69)",2
48,"(5, 70)",2
48,"(5, 71)",-1
48,"(5, 72)",-1
48,"(5, 73)",3
48,"(5, 74)",-1
48,"(5, 79)",-1
48,"(5, 80)",-1
48,"(5, 83)",-1
48,"(5, 85)",5
48,"(5, 86)",6
48,"(5, 87)",4
48,"(5, 88)",4
48,"(5, 90)",3
48,"(5, 91)",4
48,"(5, 93)",-1
48,"(5, 94)",4
48,"(5, 95)",2
48,"(5, 96)",2
48,"(5, 97)",2
