Step,AgentID,Steps to fire up
75,"(0, 0)",-1
75,"(0, 1)",-1
75,"(0, 2)",-1
75,"(0, 4)",-1
75,"(0, 5)",-1
75,"(0, 6)",-1
75,"(0, 7)",-1
75,"(0, 8)",-1
75,"(0, 9)",-1
75,"(0, 10)",-1
75,"(0, 12)",-1
75,"(0, 13)",-1
75,"(0, 14)",-1
75,"(0, 15)",-1
75,"(0, 16)",-1
75,"(0, 17)",-1
75,"(0, 18)",-1
75,"(0, 19)",-1
75,"(0, 20)",-1
75,"(0, 21)",-1
75,"(0, 23)",-1
75,"(0, 24)",-1
75,"(0, 25)",-1
75,"(0, 26)",-1
75,"(0, 27)",-1
75,"(0, 29)",-1
75,"(0, 30)",-1
75,"(0, 31)",-1
75,"(0, 32)",-1
75,"(0, 33)",-1
75,"(0, 34)",-1
75,"(0, 36)",-1
75,"(0, 37)",-1
75,"(0, 38)",-1
75,"(0, 39)",-1
75,"(0, 40)",-1
75,"(0, 43)",-1
75,"(0, 44)",-1
75,"(0, 45)",-1
75,"(0, 46)",-1
75,"(0, 47)",-1
75,"(0, 48)",-1
75,"(0, 50)",-1
75,"(0, 51)",-1
75,"(0, 54)",-1
75,"(0, 55)",-1
75,"(0, 56)",-1
75,"(0, 57)",-1
75,"(0, 58)",-1
75,"(0, 59)",-1
75,"(0, 60)",-1
75,"(0, 61)",-1
75,"(0, 62)",-1
75,"(0, 63)",-1
75,"(0, 64)",-1
75,"(0, 66)",-1
75,"(0, 67)",-1
75,"(0, 69)",-1
75,"(0, 70)",-1
75,"(0, 71)",-1
75,"(0, 72)",-1
75,"(0, 73)",-1
75,"(0, 74)",-1
75,"(0, 75)",-1
75,"(0, 76)",-1
75,"(0, 78)",-1
75,"(0, 79)",-1
75,"(0, 80)",-1
75,"(0, 81)",-1
75,"(0, 82)",-1
75,"(0, 83)",-1
75,"(0, 85)",-1
75,"(0, 87)",-1
75,"(0, 88)",-1
75,"(0, 89)",-1
75,"(0, 90)",-1
75,"(0, 91)",-1
75,"(0, 92)",-1
75,"(0, 93)",-1
75,"(0, 94)",-1
75,"(0, 95)",-1
75,"(0, 98)",-1
75,"(0, 99)",-1
75,"(1, 0)",-1
75,"(1, 1)",1
75,"(1, 2)",-1
75,"(1, 3)",-1
75,"(1, 4)",-1
75,"(1, 5)",1
75,"(1, 6)",1
75,"(1, 7)",1
75,"(1, 8)",1
75,"(1, 9)",1
75,"(1, 10)",2
75,"(1, 11)",3
75,"(1, 12)",2
75,"(1, 13)",1
75,"(1, 14)",-1
75,"(1, 15)",1
75,"(1, 16)",1
75,"(1, 17)",-1
75,"(1, 18)",1
