,Fine,On Fire,Burned Out,Humid,Percent
0,3328,75,0,4639,1.0
1,3180,86,157,4619,0.9802664655605832
2,3125,46,288,4583,0.9639819909954978
3,3081,46,373,4542,0.9533516758379189
4,3027,57,455,4503,0.9430181590482154
5,2990,46,539,4467,0.932591295647824
6,2965,38,614,4425,0.9232883558220889
7,2933,40,688,4381,0.9140214946263434
8,2922,30,740,4350,0.9076385421867199
9,2912,28,792,4310,0.9011729473421513
10,2880,30,846,4286,0.8944083874188717
11,2872,27,886,4257,0.8894572676232065
12,2844,31,936,4231,0.8831606541006116
13,2831,24,981,4206,0.8776502868545772
14,2816,28,1019,4179,0.8728475168455203
15,2784,34,1073,4151,0.866008991008991
16,2753,38,1137,4114,0.8579460269865068
17,2704,43,1216,4079,0.8479809976247031
18,2657,53,1282,4050,0.8395293528601827
19,2603,52,1369,4018,0.8286608260325407
20,2578,50,1444,3970,0.8193193193193193
21,2518,74,1527,3923,0.8083584337349398
22,2436,74,1672,3860,0.7901606425702812
23,2328,80,1837,3797,0.7692790756091434
24,2218,97,1995,3732,0.748898678414097
25,2104,110,2162,3666,0.7274331820474029
26,1984,102,2346,3610,0.7045340050377834
27,1907,80,2516,3539,0.6839989952273298
28,1793,98,2664,3487,0.6646525679758308
29,1703,91,2826,3422,0.6445730096843164
30,1621,88,2979,3354,0.625471460900176
31,1559,68,3119,3296,0.608853774767996
32,1505,59,3241,3237,0.5940122760866842
33,1450,67,3343,3182,0.5808150470219435
34,1395,52,3454,3141,0.5677096370463078
35,1360,39,3550,3093,0.5564163438710483
36,1331,37,3614,3060,0.5485321673953779
37,1312,35,3677,3018,0.540776820282253
38,1283,38,3738,2983,0.532983508245877
39,1253,30,3797,2962,0.5260858711932102
40,1217,46,3856,2923,0.5177588794397199
41,1177,48,3934,2883,0.5078809106830122
42,1121,50,4022,2849,0.49674674674674674
43,1075,59,4121,2787,0.4837780283101591
44,1013,67,4226,2736,0.4700940438871473
45,982,48,4334,2678,0.45784338253690265
46,918,63,4441,2620,0.4434139616493295
47,864,81,4559,2538,0.42733324959175983
48,799,65,4699,2479,0.41093142785508335
49,757,54,4809,2422,0.3979719579369054
50,705,58,4907,2372,0.38539579158316634
51,658,43,5002,2339,0.3746718339792474
52,645,24,5057,2316,0.36929408830132204
53,615,30,5104,2293,0.362955566650025
54,596,24,5148,2274,0.35794462459466203
55,578,20,5188,2256,0.3532784841685365
56,564,14,5220,2244,0.34977578475336324
57,558,9,5237,2238,0.3480642350304992
58,549,7,5253,2233,0.3462352209085252
59,550,1,5260,2231,0.3458525059072255
60,548,2,5263,2229,0.3453980099502488
61,547,0,5266,2229,0.3451877642377518
