,Fine,On Fire,Burned Out,Humid,Percent
0,3165,57,0,3277,1.0
1,3151,17,71,3260,0.9890465905584697
2,3142,19,101,3237,0.9844135802469136
3,3120,14,140,3225,0.9784117193523516
4,3108,13,164,3214,0.9747147702744372
5,3085,22,189,3203,0.9708198239925891
6,3067,12,228,3192,0.9648527824880531
7,3057,11,249,3182,0.9616214549938348
8,3048,8,270,3173,0.9584039439223541
9,3035,9,286,3169,0.9559322033898305
10,3026,12,301,3160,0.9535995067057191
11,3005,18,323,3153,0.9501620120351798
12,2990,13,352,3144,0.9457292630280605
13,2990,5,369,3135,0.943178318447798
14,2991,0,375,3133,0.9422988152023388
