,Fine,On Fire,Burned Out,Humid,Percent
0,4810,69,0,1641,1.0
1,4737,40,114,1629,0.9824074074074074
2,4685,36,191,1608,0.9705428747686613
3,4607,52,270,1591,0.9582560296846011
4,4488,64,390,1578,0.9395910780669146
5,4380,71,510,1559,0.9209179717785703
6,4249,81,659,1531,0.8976549153595279
7,4091,89,837,1503,0.8698491680920541
8,3954,93,1004,1469,0.8437840360977128
9,3774,109,1202,1435,0.8125097488691312
10,3655,75,1387,1403,0.7847944142746315
11,3549,71,1523,1377,0.7638393549387502
12,3449,76,1649,1346,0.7441030415890751
13,3363,56,1772,1329,0.7258663366336634
14,3290,47,1875,1308,0.7103352386837634
15,3205,60,1962,1293,0.6962848297213622
16,3102,74,2072,1272,0.6785603475023271
17,2958,93,2224,1245,0.6539598568538976
18,2820,84,2400,1216,0.6270975761342449
19,2738,71,2531,1180,0.607536052101101
20,2607,85,2670,1158,0.585081585081585
21,2499,80,2800,1141,0.5652173913043478
22,2338,104,2968,1110,0.5374064837905237
23,2221,84,3138,1077,0.5124300807955252
24,2072,103,3297,1048,0.48620850864890136
25,1945,91,3468,1016,0.460569295380308
26,1818,85,3633,984,0.4354312354312354
27,1712,78,3778,952,0.41353616889164857
28,1582,91,3919,928,0.39041841655000775
29,1446,84,4077,913,0.3665320074580485
30,1339,77,4217,887,0.3454912307931088
31,1185,100,4375,860,0.31853582554517135
32,1038,88,4569,825,0.2896455223880597
33,934,73,4715,798,0.2686520862416628
34,832,65,4843,780,0.24972889233152595
35,753,43,4960,764,0.2342133703875251
36,693,43,5035,749,0.22263393546394936
37,615,51,5119,735,0.20868758695316122
38,558,41,5201,720,0.19725266244790862
39,500,44,5271,705,0.18607164916615196
40,428,55,5348,689,0.17277648878576954
41,377,26,5444,673,0.16168771173390822
42,335,19,5499,667,0.15413013382556529
43,325,11,5524,660,0.15132892917498847
44,309,13,5544,654,0.1479944674965422
45,299,8,5562,651,0.1458845208845209
46,290,5,5576,649,0.14412893323100537
47,289,1,5583,647,0.14358030372756558
48,289,0,5585,646,0.14340490797546013
