Step,AgentID,Steps to fire up
14,"(0, 0)",-1
14,"(0, 1)",-1
14,"(0, 3)",-1
14,"(0, 5)",-1
14,"(0, 8)",-1
14,"(0, 10)",-1
14,"(0, 11)",-1
14,"(0, 12)",-1
14,"(0, 16)",-1
14,"(0, 17)",-1
14,"(0, 18)",-1
14,"(0, 20)",-1
14,"(0, 21)",-1
14,"(0, 22)",-1
14,"(0, 23)",-1
14,"(0, 24)",-1
14,"(0, 25)",-1
14,"(0, 27)",-1
14,"(0, 29)",-1
14,"(0, 31)",-1
14,"(0, 33)",-1
14,"(0, 36)",-1
14,"(0, 37)",-1
14,"(0, 39)",-1
14,"(0, 41)",-1
14,"(0, 45)",-1
14,"(0, 47)",-1
14,"(0, 49)",-1
14,"(0, 52)",-1
14,"(0, 54)",-1
14,"(0, 56)",-1
14,"(0, 57)",-1
14,"(0, 58)",-1
14,"(0, 59)",-1
14,"(0, 60)",-1
14,"(0, 61)",-1
14,"(0, 62)",-1
14,"(0, 64)",-1
14,"(0, 66)",-1
14,"(0, 67)",-1
14,"(0, 69)",-1
14,"(0, 72)",-1
14,"(0, 75)",-1
14,"(0, 77)",-1
14,"(0, 78)",-1
14,"(0, 80)",-1
14,"(0, 81)",-1
14,"(0, 82)",-1
14,"(0, 83)",-1
14,"(0, 85)",-1
14,"(0, 87)",-1
14,"(0, 89)",-1
14,"(0, 90)",-1
14,"(0, 94)",-1
14,"(0, 95)",-1
14,"(0, 96)",-1
14,"(0, 99)",-1
14,"(1, 3)",1
14,"(1, 4)",1
14,"(1, 5)",2
14,"(1, 6)",-1
14,"(1, 7)",-1
14,"(1, 8)",1
14,"(1, 12)",1
14,"(1, 15)",-1
14,"(1, 18)",-1
14,"(1, 19)",-1
14,"(1, 20)",-1
14,"(1, 21)",-1
14,"(1, 22)",1
14,"(1, 23)",1
14,"(1, 24)",-1
14,"(1, 25)",-1
14,"(1, 26)",-1
14,"(1, 28)",1
14,"(1, 29)",2
14,"(1, 30)",1
14,"(1, 31)",-1
14,"(1, 32)",-1
14,"(1, 35)",-1
14,"(1, 37)",-1
14,"(1, 38)",-1
14,"(1, 41)",-1
14,"(1, 43)",-1
14,"(1, 45)",-1
14,"(1, 48)",-1
14,"(1, 49)",-1
14,"(1, 51)",-1
14,"(1, 54)",-1
14,"(1, 58)",1
14,"(1, 59)",4
14,"(1, 60)",1
14,"(1, 62)",1
14,"(1, 63)",2
14,"(1, 65)",1
14,"(1, 66)",-1
14,"(1, 67)",-1
14,"(1, 68)",-1
14,"(1, 69)",-1
14,"(1, 71)",-1
14,"(1, 73)",-1
14,"(1, 75)",-1
14,"(1, 76)",1
14,"(1, 78)",-1
14,"(1, 79)",1
14,"(1, 81)",-1
14,"(1, 82)",-1
14,"(1, 83)",1
14,"(1, 84)",-1
14,"(1, 85)",-1
14,"(1, 86)",1
14,"(1, 87)",-1
14,"(1, 88)",-1
14,"(1, 89)",1
14,"(1, 90)",-1
14,"(1, 91)",-1
14,"(1, 92)",-1
14,"(1, 93)",-1
14,"(1, 96)",-1
14,"(1, 98)",-1
14,"(2, 1)",-1
14,"(2, 2)",3
14,"(2, 3)",1
14,"(2, 4)",1
14,"(2, 5)",2
14,"(2, 6)",-1
14,"(2, 7)",-1
14,"(2, 10)",-1
14,"(2, 11)",2
14,"(2, 13)",2
14,"(2, 14)",-1
14,"(2, 15)",-1
14,"(2, 17)",-1
14,"(2, 22)",1
14,"(2, 23)",1
14,"(2, 24)",-1
14,"(2, 25)",-1
14,"(2, 27)",2
14,"(2, 28)",1
14,"(2, 29)",1
14,"(2, 30)",2
14,"(2, 31)",-1
14,"(2, 32)",-1
14,"(2, 33)",-1
14,"(2, 34)",-1
14,"(2, 36)",-1
14,"(2, 38)",-1
14,"(2, 39)",-1
14,"(2, 40)",-1
14,"(2, 43)",-1
14,"(2, 44)",-1
14,"(2, 45)",-1
14,"(2, 46)",-1
14,"(2, 48)",-1
14,"(2, 49)",-1
14,"(2, 51)",-1
14,"(2, 52)",-1
14,"(2, 54)",-1
14,"(2, 55)",-1
14,"(2, 56)",-1
14,"(2, 57)",1
14,"(2, 58)",1
14,"(2, 59)",-1
14,"(2, 60)",3
14,"(2, 61)",2
14,"(2, 62)",2
14,"(2, 63)",-1
14,"(2, 64)",3
14,"(2, 65)",1
14,"(2, 69)",-1
14,"(2, 73)",-1
14,"(2, 74)",-1
14,"(2, 75)",-1
14,"(2, 76)",1
14,"(2, 79)",-1
14,"(2, 80)",-1
14,"(2, 82)",-1
14,"(2, 84)",-1
14,"(2, 85)",-1
14,"(2, 87)",-1
14,"(2, 89)",-1
14,"(2, 90)",-1
14,"(2, 91)",-1
14,"(2, 92)",-1
14,"(2, 93)",-1
14,"(2, 95)",-1
14,"(2, 97)",-1
14,"(2, 98)",-1
14,"(2, 99)",-1
14,"(3, 0)",-1
14,"(3, 2)",2
14,"(3, 3)",2
14,"(3, 4)",2
14,"(3, 6)",-1
14,"(3, 7)",-1
14,"(3, 8)",-1
14,"(3, 9)",-1
14,"(3, 11)",2
14,"(3, 12)",2
14,"(3, 13)",2
14,"(3, 14)",2
14,"(3, 15)",-1
14,"(3, 16)",-1
14,"(3, 20)",-1
14,"(3, 23)",1
14,"(3, 27)",-1
14,"(3, 28)",2
14,"(3, 29)",2
14,"(3, 30)",3
14,"(3, 31)",-1
14,"(3, 34)",-1
14,"(3, 35)",-1
14,"(3, 36)",-1
14,"(3, 39)",-1
14,"(3, 40)",-1
14,"(3, 41)",-1
14,"(3, 43)",-1
14,"(3, 44)",-1
14,"(3, 45)",-1
14,"(3, 46)",-1
14,"(3, 49)",-1
14,"(3, 50)",-1
14,"(3, 51)",-1
14,"(3, 53)",-1
14,"(3, 55)",-1
14,"(3, 57)",1
14,"(3, 58)",1
14,"(3, 59)",-1
14,"(3, 61)",-1
14,"(3, 62)",2
14,"(3, 64)",-1
14,"(3, 66)",9
14,"(3, 71)",-1
14,"(3, 72)",-1
14,"(3, 76)",2
14,"(3, 77)",-1
14,"(3, 78)",-1
14,"(3, 81)",-1
14,"(3, 83)",-1
14,"(3, 86)",-1
14,"(3, 87)",-1
14,"(3, 88)",-1
14,"(3, 89)",-1
14,"(3, 90)",-1
14,"(3, 91)",-1
14,"(3, 92)",-1
14,"(3, 93)",-1
14,"(3, 94)",-1
14,"(3, 96)",-1
14,"(3, 97)",-1
14,"(3, 99)",-1
14,"(4, 3)",2
14,"(4, 4)",2
14,"(4, 5)",3
14,"(4, 6)",-1
14,"(4, 7)",-1
14,"(4, 8)",-1
14,"(4, 10)",-1
14,"(4, 12)",3
14,"(4, 13)",2
14,"(4, 16)",-1
14,"(4, 17)",-1
14,"(4, 18)",-1
14,"(4, 19)",-1
14,"(4, 20)",-1
14,"(4, 21)",-1
14,"(4, 22)",2
14,"(4, 24)",3
14,"(4, 25)",-1
14,"(4, 26)",-1
14,"(4, 28)",2
14,"(4, 29)",-1
14,"(4, 31)",-1
14,"(4, 32)",-1
14,"(4, 35)",-1
14,"(4, 36)",-1
14,"(4, 39)",-1
14,"(4, 40)",-1
14,"(4, 44)",-1
14,"(4, 45)",-1
14,"(4, 46)",-1
14,"(4, 47)",-1
14,"(4, 48)",-1
14,"(4, 49)",-1
14,"(4, 50)",-1
14,"(4, 51)",-1
14,"(4, 52)",-1
14,"(4, 53)",-1
14,"(4, 54)",-1
14,"(4, 56)",-1
14,"(4, 58)",1
14,"(4, 59)",-1
14,"(4, 61)",-1
14,"(4, 62)",3
14,"(4, 64)",9
14,"(4, 65)",8
14,"(4, 66)",9
14,"(4, 67)",9
14,"(4, 71)",-1
14,"(4, 73)",-1
14,"(4, 74)",-1
14,"(4, 76)",3
14,"(4, 79)",-1
14,"(4, 82)",-1
14,"(4, 83)",-1
14,"(4, 84)",-1
14,"(4, 85)",-1
14,"(4, 86)",-1
14,"(4, 87)",-1
14,"(4, 89)",-1
14,"(4, 90)",-1
14,"(4, 91)",-1
14,"(4, 93)",-1
14,"(4, 94)",-1
14,"(4, 97)",-1
14,"(4, 98)",-1
14,"(4, 99)",-1
14,"(5, 0)",-1
14,"(5, 1)",-1
14,"(5, 5)",3
14,"(5, 7)",-1
14,"(5, 9)",-1
14,"(5, 10)",-1
14,"(5, 11)",3
14,"(5, 14)",-1
14,"(5, 17)",-1
14,"(5, 18)",-1
14,"(5, 20)",-1
14,"(5, 21)",-1
14,"(5, 22)",3
14,"(5, 23)",3
14,"(5, 24)",-1
14,"(5, 25)",-1
14,"(5, 28)",3
14,"(5, 32)",-1
14,"(5, 33)",-1
14,"(5, 35)",-1
14,"(5, 37)",-1
14,"(5, 38)",-1
14,"(5, 39)",-1
14,"(5, 40)",-1
14,"(5, 42)",-1
14,"(5, 43)",-1
14,"(5, 44)",-1
14,"(5, 45)",-1
14,"(5, 46)",-1
14,"(5, 48)",-1
14,"(5, 49)",-1
14,"(5, 50)",-1
14,"(5, 51)",-1
14,"(5, 53)",-1
14,"(5, 55)",3
14,"(5, 56)",3
14,"(5, 57)",2
14,"(5, 59)",-1
14,"(5, 60)",-1
14,"(5, 61)",-1
14,"(5, 62)",3
14,"(5, 63)",-1
14,"(5, 65)",7
14,"(5, 66)",-1
14,"(5, 72)",-1
14,"(5, 73)",-1
14,"(5, 75)",-1
14,"(5, 76)",3
14,"(5, 77)",4
14,"(5, 78)",-1
14,"(5, 79)",-1
14,"(5, 80)",-1
14,"(5, 83)",-1
14,"(5, 84)",-1
14,"(5, 85)",-1
14,"(5, 86)",-1
14,"(5, 87)",-1
14,"(5, 89)",-1
14,"(5, 90)",-1
14,"(5, 91)",-1
14,"(5, 98)",-1
14,"(5, 99)",-1
14,"(6, 0)",-1
14,"(6, 2)",-1
14,"(6, 4)",4
14,"(6, 5)",6
14,"(6, 7)",13
14,"(6, 8)",12
14,"(6, 9)",-1
14,"(6, 11)",4
14,"(6, 12)",5
14,"(6, 14)",-1
14,"(6, 15)",-1
