Step,AgentID,Steps to fire up
61,"(0, 0)",-1
61,"(0, 1)",-1
61,"(0, 2)",-1
61,"(0, 3)",-1
61,"(0, 4)",-1
61,"(0, 5)",-1
61,"(0, 6)",-1
61,"(0, 7)",-1
61,"(0, 8)",-1
61,"(0, 9)",-1
61,"(0, 10)",-1
61,"(0, 14)",-1
61,"(0, 15)",-1
61,"(0, 16)",-1
61,"(0, 19)",-1
61,"(0, 21)",-1
61,"(0, 23)",-1
61,"(0, 26)",-1
61,"(0, 27)",-1
61,"(0, 28)",-1
61,"(0, 29)",-1
61,"(0, 30)",-1
61,"(0, 31)",-1
61,"(0, 33)",-1
61,"(0, 34)",-1
61,"(0, 35)",-1
61,"(0, 36)",-1
61,"(0, 38)",-1
61,"(0, 40)",-1
61,"(0, 41)",-1
61,"(0, 42)",-1
61,"(0, 43)",-1
61,"(0, 44)",-1
61,"(0, 45)",-1
61,"(0, 46)",-1
61,"(0, 47)",-1
61,"(0, 48)",-1
61,"(0, 50)",-1
61,"(0, 51)",-1
61,"(0, 54)",-1
61,"(0, 55)",-1
61,"(0, 56)",-1
61,"(0, 57)",-1
61,"(0, 58)",-1
61,"(0, 59)",-1
61,"(0, 60)",-1
61,"(0, 61)",-1
61,"(0, 64)",-1
61,"(0, 65)",-1
61,"(0, 66)",-1
61,"(0, 67)",-1
61,"(0, 68)",-1
61,"(0, 69)",-1
61,"(0, 71)",-1
61,"(0, 72)",-1
61,"(0, 73)",-1
61,"(0, 74)",-1
61,"(0, 75)",-1
61,"(0, 76)",-1
61,"(0, 78)",-1
61,"(0, 80)",-1
61,"(0, 81)",-1
61,"(0, 82)",-1
61,"(0, 83)",-1
61,"(0, 84)",-1
61,"(0, 85)",-1
61,"(0, 86)",-1
61,"(0, 88)",-1
61,"(0, 90)",-1
61,"(0, 91)",-1
61,"(0, 93)",-1
61,"(0, 94)",-1
61,"(0, 95)",-1
61,"(0, 96)",-1
61,"(0, 99)",-1
61,"(1, 0)",1
61,"(1, 1)",1
61,"(1, 2)",1
61,"(1, 3)",1
61,"(1, 4)",1
61,"(1, 5)",1
61,"(1, 6)",1
61,"(1, 7)",1
61,"(1, 8)",1
61,"(1, 10)",1
61,"(1, 12)",2
61,"(1, 14)",1
61,"(1, 15)",1
61,"(1, 18)",1
61,"(1, 19)",1
61,"(1, 21)",1
61,"(1, 22)",1
61,"(1, 24)",1
61,"(1, 25)",1
61,"(1, 26)",1
61,"(1, 27)",1
61,"(1, 29)",1
61,"(1, 30)",1
61,"(1, 31)",1
61,"(1, 32)",1
61,"(1, 33)",1
61,"(1, 34)",1
61,"(1, 37)",1
61,"(1, 38)",1
61,"(1, 40)",1
61,"(1, 41)",1
61,"(1, 42)",1
61,"(1, 44)",1
61,"(1, 45)",1
61,"(1, 46)",1
61,"(1, 48)",1
61,"(1, 49)",1
61,"(1, 50)",1
61,"(1, 51)",1
61,"(1, 52)",1
61,"(1, 53)",1
61,"(1, 54)",1
61,"(1, 55)",1
61,"(1, 56)",1
61,"(1, 57)",1
61,"(1, 58)",1
61,"(1, 59)",1
61,"(1, 60)",1
61,"(1, 61)",1
61,"(1, 62)",1
61,"(1, 63)",1
61,"(1, 64)",1
61,"(1, 65)",1
61,"(1, 67)",1
61,"(1, 68)",1
61,"(1, 69)",1
61,"(1, 70)",1
61,"(1, 71)",1
61,"(1, 72)",1
61,"(1, 73)",1
61,"(1, 74)",1
61,"(1, 75)",1
61,"(1, 76)",1
61,"(1, 78)",1
61,"(1, 81)",1
61,"(1, 82)",1
61,"(1, 83)",1
61,"(1, 84)",1
61,"(1, 85)",1
61,"(1, 86)",1
61,"(1, 87)",1
61,"(1, 88)",1
61,"(1, 89)",1
61,"(1, 90)",1
61,"(1, 91)",1
61,"(1, 92)",1
61,"(1, 93)",1
61,"(1, 94)",1
61,"(1, 95)",1
61,"(1, 96)",1
61,"(1, 97)",1
61,"(1, 98)",1
61,"(1, 99)",1
61,"(2, 0)",2
61,"(2, 2)",2
61,"(2, 3)",2
61,"(2, 4)",1
61,"(2, 5)",1
61,"(2, 6)",1
61,"(2, 7)",1
61,"(2, 8)",1
61,"(2, 9)",2
61,"(2, 10)",2
61,"(2, 12)",2
61,"(2, 13)",2
61,"(2, 14)",1
61,"(2, 15)",1
61,"(2, 17)",2
61,"(2, 18)",1
61,"(2, 19)",1
61,"(2, 20)",1
61,"(2, 23)",1
61,"(2, 24)",1
61,"(2, 26)",1
61,"(2, 28)",1
61,"(2, 29)",1
61,"(2, 30)",1
61,"(2, 33)",1
61,"(2, 34)",1
61,"(2, 36)",2
61,"(2, 37)",2
61,"(2, 38)",2
61,"(2, 39)",1
61,"(2, 41)",1
61,"(2, 42)",1
61,"(2, 43)",1
61,"(2, 44)",1
61,"(2, 45)",1
61,"(2, 46)",1
61,"(2, 47)",1
61,"(2, 48)",1
61,"(2, 49)",1
61,"(2, 50)",1
61,"(2, 51)",1
61,"(2, 52)",1
61,"(2, 53)",1
61,"(2, 54)",1
61,"(2, 55)",1
61,"(2, 57)",1
61,"(2, 58)",1
61,"(2, 59)",1
61,"(2, 60)",1
61,"(2, 61)",1
61,"(2, 62)",1
61,"(2, 63)",1
61,"(2, 64)",1
61,"(2, 65)",2
61,"(2, 66)",1
61,"(2, 67)",1
61,"(2, 68)",1
61,"(2, 69)",1
61,"(2, 70)",1
61,"(2, 72)",1
61,"(2, 73)",1
61,"(2, 74)",1
61,"(2, 75)",1
61,"(2, 77)",1
61,"(2, 78)",2
61,"(2, 79)",2
61,"(2, 80)",1
61,"(2, 81)",1
61,"(2, 83)",1
61,"(2, 84)",1
61,"(2, 86)",2
61,"(2, 87)",2
61,"(2, 88)",2
61,"(2, 90)",1
61,"(2, 91)",1
61,"(2, 92)",1
61,"(2, 93)",1
61,"(2, 94)",1
61,"(2, 95)",1
61,"(2, 96)",1
61,"(2, 97)",1
61,"(2, 98)",1
61,"(2, 99)",1
61,"(3, 0)",-1
61,"(3, 5)",-1
61,"(3, 7)",1
61,"(3, 8)",2
61,"(3, 9)",2
61,"(3, 10)",7
61,"(3, 11)",8
61,"(3, 12)",7
61,"(3, 13)",-1
61,"(3, 14)",1
61,"(3, 15)",2
61,"(3, 16)",1
61,"(3, 17)",2
61,"(3, 18)",2
61,"(3, 19)",2
61,"(3, 20)",2
61,"(3, 21)",3
61,"(3, 22)",-1
61,"(3, 23)",1
61,"(3, 24)",-1
61,"(3, 25)",1
61,"(3, 26)",2
61,"(3, 28)",31
61,"(3, 29)",2
61,"(3, 30)",2
61,"(3, 31)",4
61,"(3, 33)",2
61,"(3, 34)",1
61,"(3, 35)",1
61,"(3, 36)",-1
61,"(3, 38)",-1
61,"(3, 39)",-1
61,"(3, 40)",-1
61,"(3, 41)",-1
61,"(3, 42)",-1
61,"(3, 43)",2
61,"(3, 45)",1
61,"(3, 46)",-1
61,"(3, 47)",-1
61,"(3, 48)",1
61,"(3, 50)",1
61,"(3, 51)",1
61,"(3, 52)",1
61,"(3, 53)",1
61,"(3, 55)",-1
61,"(3, 56)",2
61,"(3, 57)",7
61,"(3, 58)",2
61,"(3, 59)",1
61,"(3, 60)",2
61,"(3, 62)",2
61,"(3, 63)",2
61,"(3, 64)",2
61,"(3, 65)",3
61,"(3, 66)",2
61,"(3, 67)",2
61,"(3, 68)",2
61,"(3, 69)",1
61,"(3, 70)",1
61,"(3, 71)",1
61,"(3, 72)",-1
61,"(3, 74)",2
61,"(3, 75)",2
61,"(3, 76)",-1
61,"(3, 77)",2
61,"(3, 78)",-1
61,"(3, 79)",2
61,"(3, 80)",-1
61,"(3, 82)",1
61,"(3, 83)",14
61,"(3, 84)",15
61,"(3, 85)",2
61,"(3, 86)",3
61,"(3, 87)",3
61,"(3, 88)",4
61,"(3, 89)",2
61,"(3, 90)",1
61,"(3, 92)",2
61,"(3, 93)",2
61,"(3, 94)",2
61,"(3, 96)",-1
61,"(3, 98)",2
61,"(3, 99)",1
61,"(4, 0)",-1
61,"(4, 1)",-1
61,"(4, 2)",5
61,"(4, 4)",-1
61,"(4, 5)",-1
61,"(4, 7)",2
61,"(4, 8)",3
61,"(4, 9)",4
61,"(4, 10)",7
61,"(4, 11)",7
61,"(4, 12)",8
61,"(4, 13)",2
61,"(4, 14)",2
61,"(4, 15)",3
61,"(4, 16)",2
61,"(4, 17)",4
61,"(4, 18)",3
61,"(4, 19)",3
61,"(4, 20)",5
61,"(4, 23)",-1
61,"(4, 24)",2
61,"(4, 25)",2
61,"(4, 26)",2
61,"(4, 27)",30
61,"(4, 28)",6
61,"(4, 29)",3
61,"(4, 30)",5
61,"(4, 31)",-1
61,"(4, 32)",3
61,"(4, 33)",3
61,"(4, 34)",2
61,"(4, 35)",2
61,"(4, 36)",3
61,"(4, 37)",3
61,"(4, 38)",4
61,"(4, 40)",-1
61,"(4, 41)",-1
61,"(4, 42)",-1
61,"(4, 43)",-1
61,"(4, 44)",-1
61,"(4, 47)",-1
61,"(4, 49)",2
61,"(4, 51)",-1
61,"(4, 54)",-1
61,"(4, 56)",-1
61,"(4, 57)",6
61,"(4, 58)",3
61,"(4, 59)",2
61,"(4, 60)",3
61,"(4, 61)",2
61,"(4, 62)",2
61,"(4, 63)",3
61,"(4, 64)",2
61,"(4, 65)",3
61,"(4, 68)",3
61,"(4, 69)",2
61,"(4, 70)",2
61,"(4, 72)",4
61,"(4, 74)",3
61,"(4, 75)",-1
61,"(4, 76)",-1
61,"(4, 78)",-1
61,"(4, 80)",-1
61,"(4, 82)",11
61,"(4, 83)",11
61,"(4, 84)",13
